1,400,8,150,80.71,22.6,55.41
2,400,10,150,92.45,25.2,50.08
3,400,12,150,114.85,24.5,56.26
4,400,8,225,88.24,26.65,50.76
5,400,10,225,111.69,29.82,50.07
7,400,8,375,89.22,24.51,39.87
8,400,10,375,134.6,30.09,43.58
10,800,8,150,94.71,43.75,81.67
11,800,10,150,126.9,46.98,95.49
12,800,12,150,147.99,56.07,107.58
13,800,8,225,129.65,57.97,81.23
14,800,10,225,157.79,55.61,98.11
16,800,8,375,138.52,42.65,60.01
18,800,12,375,206.92,55.22,78.9
19,1200,8,150,127.63,67.05,100.28
20,1200,10,150,156.58,81.39,144.64
21,1200,12,150,178.54,76.37,148.57
22,1200,8,225,158.42,68.59,90.25
24,1200,12,225,204.34,79.43,145.82
25,1200,8,375,173.39,45.22,59.73
27,1200,12,375,250,74.68,123.52